orig_result,0_loss_pro,0_loss_neg,0_win_pro,0_win_neg,0_draw_pro,0_draw_neg,0_area_score,1_loss_pro,1_loss_neg,1_win_pro,1_win_neg,1_draw_pro,1_draw_neg,1_area_score,2_loss_pro,2_loss_neg,2_win_pro,2_win_neg,2_draw_pro,2_draw_neg,2_area_score,3_loss_pro,3_loss_neg,3_win_pro,3_win_neg,3_draw_pro,3_draw_neg,3_area_score,4_loss_pro,4_loss_neg,4_win_pro,4_win_neg,4_draw_pro,4_draw_neg,4_area_score,5_loss_pro,5_loss_neg,5_win_pro,5_win_neg,5_draw_pro,5_draw_neg,5_area_score,6_loss_pro,6_loss_neg,6_win_pro,6_win_neg,6_draw_pro,6_draw_neg,6_area_score,7_loss_pro,7_loss_neg,7_win_pro,7_win_neg,7_draw_pro,7_draw_neg,7_area_score,8_loss_pro,8_loss_neg,8_win_pro,8_win_neg,8_draw_pro,8_draw_neg,8_area_score,9_loss_pro,9_loss_neg,9_win_pro,9_win_neg,9_draw_pro,9_draw_neg,9_area_score
0.0,33681,0,0,31186,65,18882,-37,25540,0,0,25654,65,15888,-37,25222,0,0,23694,65,18307,-37,18967,0,0,20058,65,16605,-37,19798,0,0,20058,65,16605,-42,15067,0,0,14482,65,14945,-41,15833,0,0,14482,70,14945,-41,11640,0,0,12374,70,14945,-41,11640,0,0,12374,82,15085,-41,7898,0,0,10852,82,15829,-41
1.0,806,42243,34510,0,116,13033,29,806,44336,38007,0,116,14033,29,806,41337,28950,0,116,13219,19,806,42325,31196,0,116,12576,25,806,37340,26083,0,164,12925,29,806,37340,27324,0,164,12925,29,806,28732,22605,0,164,12925,25,0,28970,24431,0,133,12865,22,0,27049,21547,0,181,12381,22,0,28936,22975,0,133,12903,21
1.0,4154,3476,9216,4369,35,6958,-7,4154,3476,10506,2467,35,6958,-4,5333,1411,8495,2467,41,6273,-7,3425,1411,8495,1415,41,6273,-10,3425,1411,7018,1415,41,6273,-11,2475,1411,7971,1415,41,6273,-11,2475,1411,6666,1415,66,6273,-11,2475,1411,6738,661,41,6273,-11,2475,646,5847,661,41,6273,-12,2475,646,5847,661,41,6273,-12
1.0,2787,35624,35746,1231,23,18970,11,2787,35624,38006,0,23,19761,11,2787,34535,31659,0,23,19386,9,2787,36241,34240,0,23,21043,9,2787,29402,27815,0,117,19311,9,2787,29402,28940,0,267,19311,9,839,20431,23623,0,117,17089,10,1948,16662,25135,0,145,17050,18,0,19229,20876,0,119,17089,18,1836,20762,23324,733,109,14821,16
1.0,1020,20969,14510,2716,805,7470,3,0,21807,15463,2716,807,6798,6,1077,14601,11765,2716,812,6171,6,579,19457,11733,1731,807,6798,3,1414,18739,9654,1731,807,7431,-4,1414,14169,9654,1731,709,9023,-4,1077,7476,8499,1731,714,7949,-2,1414,12032,8546,1731,709,7613,-4,1077,6360,8499,1731,714,6093,-2,0,11231,8546,1731,722,7613,-5
1.0,1494,29748,36914,701,156,13953,28,1494,30584,39051,701,156,14774,28,1494,27590,30747,701,156,13826,25,1494,27466,32553,0,156,14450,26,0,24539,26620,0,331,13311,23,0,25375,28757,0,331,14756,23,0,19708,23712,0,331,11088,23,0,19708,25486,0,492,11735,23,0,16520,21617,0,492,12252,22,0,19106,23282,0,324,13487,21
1.0,2996,5807,6652,0,249,9468,9,2996,5807,9357,0,249,10053,10,2996,5807,7089,0,249,8766,9,2996,5807,8728,0,249,9499,15,1955,5807,7140,0,249,8542,9,1955,6992,8117,0,260,9178,9,2996,4934,6918,0,249,10026,38,1081,5400,7860,0,406,11147,14,2996,4527,6916,0,418,12147,14,2122,4527,7781,0,406,12631,38
1.0,1087,10839,17267,729,40,9260,25,1087,10839,19368,729,40,11130,25,1087,7336,14859,729,40,10446,25,1813,7416,17107,1703,40,10872,24,1087,4390,12835,729,40,10446,25,1087,5299,13897,729,46,11119,25,1813,2178,11752,1703,89,10188,18,1087,5036,11756,0,89,9087,16,1087,4716,9761,0,89,8161,15,1087,4716,10693,0,89,8161,17
0.0,6456,3118,2030,9598,268,2649,-17,3841,3118,2030,8915,368,2649,-17,3841,2130,2030,8915,382,3749,-17,2857,2772,2030,6069,382,3749,-14,3751,2567,885,4730,268,4157,-3,1752,2009,2030,5350,382,2851,-14,1979,1367,2030,4844,457,4195,-14,874,1367,2030,4125,457,3297,-14,874,1367,2030,4125,457,3297,-14,0,1367,2030,4125,571,4306,-14
1.0,0,55907,55887,0,33,29846,25,0,58928,58416,0,33,32298,25,0,48443,48016,0,37,28408,31,0,51464,50545,0,37,30144,31,0,46761,42068,0,37,27343,25,0,38967,44367,0,52,28779,26,0,38607,36820,0,52,25978,26,0,50779,39206,0,51,26515,31,0,38327,32455,0,52,28562,26,0,39090,35196,0,51,24374,31
