orig_result,0_loss_pro,0_loss_neg,0_win_pro,0_win_neg,0_draw_pro,0_draw_neg,0_area_score,1_loss_pro,1_loss_neg,1_win_pro,1_win_neg,1_draw_pro,1_draw_neg,1_area_score,2_loss_pro,2_loss_neg,2_win_pro,2_win_neg,2_draw_pro,2_draw_neg,2_area_score,3_loss_pro,3_loss_neg,3_win_pro,3_win_neg,3_draw_pro,3_draw_neg,3_area_score,4_loss_pro,4_loss_neg,4_win_pro,4_win_neg,4_draw_pro,4_draw_neg,4_area_score,5_loss_pro,5_loss_neg,5_win_pro,5_win_neg,5_draw_pro,5_draw_neg,5_area_score,6_loss_pro,6_loss_neg,6_win_pro,6_win_neg,6_draw_pro,6_draw_neg,6_area_score,7_loss_pro,7_loss_neg,7_win_pro,7_win_neg,7_draw_pro,7_draw_neg,7_area_score,8_loss_pro,8_loss_neg,8_win_pro,8_win_neg,8_draw_pro,8_draw_neg,8_area_score,9_loss_pro,9_loss_neg,9_win_pro,9_win_neg,9_draw_pro,9_draw_neg,9_area_score
0.0,31583,657,1712,24203,46,11949,-32,21239,657,2644,18560,46,11949,-26,21910,657,1731,19723,46,9999,-32,14598,657,3490,15988,46,9999,-26,15417,657,2663,16833,46,9999,-26,10953,657,2663,12158,105,9205,-23,10953,0,1817,12158,105,9205,-23,7775,0,932,12158,105,9205,-22,5481,0,1894,11028,112,9976,-20,5481,0,1894,11028,112,9976,-20
0.0,39771,1041,1005,46351,12,16559,-34,27348,1041,1005,34202,12,15805,-21,28866,1041,1005,37817,12,14659,-29,17431,1041,1005,26231,12,14315,-17,17431,0,0,26231,12,14315,-19,11342,0,0,21655,12,15732,-15,13236,1041,748,15579,12,13826,-17,8908,2000,748,11329,12,11744,-16,5921,1745,1035,7688,12,10583,-16,5921,1745,1035,7688,12,10583,-16
0.0,3536,2011,0,7844,266,6327,-14,2482,2011,0,7844,358,6327,-14,2482,1138,0,7844,373,6327,-17,2482,2011,0,6013,358,6204,-14,2482,1138,0,6013,278,6204,-17,2482,1138,0,4570,266,6843,-5,2482,1138,0,6013,363,6843,-11,2482,1138,0,4570,422,6843,-2,2482,1138,867,5212,453,7501,-14,2482,1138,867,5212,453,7501,-14
0.0,34655,3745,885,35464,293,15729,-23,25111,3745,885,24991,293,12948,-23,24718,2785,2539,24279,354,14865,-23,20167,5513,885,18494,315,12873,-23,20167,4472,885,18494,421,12873,-23,14596,4472,1676,17145,421,12979,-19,14596,3512,1676,17145,422,12979,-19,11490,3512,1676,14311,446,13803,-19,8751,2729,1676,12008,448,13008,-18,8751,2729,1676,12008,448,13008,-18
0.0,7409,1512,4254,5886,255,12338,-6,5578,1512,4254,4347,275,12338,-6,6544,1512,3330,5022,255,10896,-7,4362,1512,5283,4347,275,11071,-10,4201,647,4359,4405,272,10111,-10,2862,647,5283,2616,347,11071,-9,2701,647,2553,2674,264,10657,-10,3934,0,6374,2207,382,10380,-8,4216,890,6248,2207,478,10586,-8,4216,890,6248,2207,478,10586,-8
0.0,32764,2880,1636,33592,73,7816,-18,23348,3809,1636,25306,139,5933,-18,24655,2880,1636,24564,102,6688,-15,17158,2642,1636,18123,139,3968,-15,19186,2768,1636,19349,168,4805,-15,12240,672,1636,15154,157,3643,-14,14311,1676,1636,16283,161,4369,-19,10964,2440,2777,14503,149,4850,-15,7859,2110,2635,11943,210,5928,-20,7859,2110,2635,11943,210,5928,-20
0.0,13059,3779,4352,6443,236,6943,-10,9390,4996,4352,5172,25,5903,-10,7956,3466,3302,2429,266,7941,-10,5235,3466,3302,2429,55,6901,-10,5386,2400,2101,1787,54,8487,-11,3577,2603,2182,1787,55,7447,-10,3577,1412,2101,813,60,7447,-11,3577,1412,3181,813,112,7447,-8,3577,808,3975,813,117,8921,-6,3577,808,3975,813,117,8921,-6
0.0,22125,1362,2875,18579,66,14865,-18,16107,1362,3737,15489,66,16492,-11,13759,1362,2875,15804,66,12919,-29,11740,2425,1873,13537,69,12919,-17,11266,646,2875,15300,94,11154,-30,9635,1709,1873,11330,97,12239,-22,9866,646,2875,12115,94,11808,-24,7967,1063,3737,9025,94,14261,-26,6338,646,1873,10479,102,12858,-29,6338,646,1873,10479,102,12858,-29
0.0,40327,0,885,65354,46,14135,-40,30869,0,885,54571,46,11261,-36,32661,0,885,52998,46,12214,-40,23735,0,885,43562,46,10632,-36,25525,0,885,43008,55,11305,-36,19009,0,885,41620,46,8785,-40,20268,0,2057,35984,55,10469,-35,14173,0,2057,32016,55,7498,-35,11462,0,2057,30855,55,7869,-36,11462,0,2057,30855,55,7869,-36
0.0,11731,0,2821,17624,100,2566,-31,8134,0,1666,15717,100,3154,-19,9189,0,1666,16246,100,3154,-19,6408,810,1666,11538,109,3183,-23,7463,810,1666,12067,136,3183,-23,6000,1607,1666,8386,145,3183,-22,7029,1607,1666,7479,149,3183,-22,4833,1607,1666,7479,156,3183,-22,3572,1607,2834,7479,220,4185,-21,3572,1607,2834,7479,220,4185,-21
